Common lines: 0

Only in Original ACL: 43
anesDoc1, carPat1HR, addItem
oncNurse2, carPat1noteItem, topics ] {nursing}
oncNurse2, carPat1noteItem, type [ {HR}
oncNurse2, carPat1nursingItem, topics ] {note}
oncNurse2, carPat1nursingItem, topics ] {nursing}
oncNurse2, carPat1nursingItem, type [ {HR}
oncNurse2, carPat2HR, type [ {HR}
oncNurse2, carPat2HR, ward = ward
oncNurse2, carPat2carItem, topics ] {note}
oncNurse2, carPat2carItem, topics ] {nursing}
oncNurse2, carPat2carItem, type [ {HR}
oncNurse2, carPat2noteItem, topics ] {note}
oncNurse2, carPat2noteItem, topics ] {nursing}
oncNurse2, carPat2noteItem, type [ {HR}
oncNurse2, carPat2nursingItem, topics ] {note}
oncNurse2, carPat2nursingItem, topics ] {nursing}
oncNurse2, carPat2nursingItem, type [ {HR}
oncNurse2, oncPat1HR, type [ {HR}
oncNurse2, oncPat1HR, ward = ward
oncNurse2, oncPat1noteItem, topics ] {note}
oncNurse2, oncPat1noteItem, topics ] {nursing}
oncNurse2, oncPat1noteItem, type [ {HR}
oncNurse2, oncPat1nursingItem, topics ] {note}
oncNurse2, oncPat1nursingItem, topics ] {nursing}
oncNurse2, oncPat1nursingItem, type [ {HR}
oncNurse2, oncPat1oncItem, topics ] {note}
oncNurse2, oncPat1oncItem, topics ] {nursing}
oncNurse2, oncPat1oncItem, type [ {HR}
oncNurse2, oncPat2HR, type [ {HR}
oncNurse2, oncPat2HR, ward = ward
oncNurse2, oncPat2noteItem, topics ] {note}
oncNurse2, oncPat2noteItem, topics ] {nursing}
oncNurse2, oncPat2noteItem, type [ {HR}
oncNurse2, oncPat2nursingItem, topics ] {note}
oncNurse2, oncPat2nursingItem, topics ] {nursing}
oncNurse2, oncPat2nursingItem, type [ {HR}
oncNurse2, oncPat2oncItem, topics ] {note}
oncNurse2, oncPat2oncItem, topics ] {nursing}
oncNurse2, oncPat2oncItem, type [ {HR}
oncPat1, carPat1HR, type [ {HR}
oncPat1, carPat1carItem, topics ] {note}
oncPat1, carPat1carItem, type [ {HR}
oncPat1, carPat1noteItem, topics ] {note}
oncPat1, carPat1noteItem, type [ {HR}
oncPat1, carPat1nursingItem, topics ] {note}
oncPat1, carPat1nursingItem, type [ {HR}
oncPat1, carPat2HR, type [ {HR}
oncPat1, carPat2carItem, topics ] {note}
oncPat1, carPat2carItem, type [ {HR}
oncPat1, carPat2noteItem, topics ] {note}
oncPat1, carPat2noteItem, type [ {HR}
oncPat1, carPat2nursingItem, topics ] {note}
oncPat1, carPat2nursingItem, type [ {HR}
oncPat1, oncPat1HR, type [ {HR}
oncPat1, oncPat1noteItem, topics ] {note}
oncPat1, oncPat1noteItem, type [ {HR}
oncPat1, oncPat1nursingItem, topics ] {note}
oncPat1, oncPat1nursingItem, type [ {HR}
oncPat1, oncPat1oncItem, topics ] {note}
oncPat1, oncPat1oncItem, type [ {HR}
oncPat1, oncPat2HR, type [ {HR}
oncPat1, oncPat2noteItem, topics ] {note}
oncPat1, oncPat2noteItem, type [ {HR}
oncPat1, oncPat2nursingItem, topics ] {note}
oncPat1, oncPat2nursingItem, type [ {HR}
oncPat1, oncPat2oncItem, topics ] {note}
oncPat1, oncPat2oncItem, type [ {HR}
oncPat2, carPat1HR, type [ {HR}
oncPat2, carPat1carItem, topics ] {note}
oncPat2, carPat1carItem, type [ {HR}
oncPat2, carPat1noteItem, topics ] {note}
oncPat2, carPat1noteItem, type [ {HR}
oncPat2, carPat1nursingItem, topics ] {note}
oncPat2, carPat1nursingItem, type [ {HR}
oncPat2, carPat2HR, type [ {HR}
oncPat2, carPat2carItem, topics ] {note}
oncPat2, carPat2carItem, type [ {HR}
oncPat2, carPat2noteItem, topics ] {note}
oncPat2, carPat2noteItem, type [ {HR}
oncPat2, carPat2nursingItem, topics ] {note}
oncPat2, carPat2nursingItem, type [ {HR}
oncPat2, oncPat1HR, type [ {HR}
oncPat2, oncPat1noteItem, topics ] {note}
oncPat2, oncPat1noteItem, type [ {HR}
oncPat2, oncPat1nursingItem, topics ] {note}
oncPat2, oncPat1nursingItem, type [ {HR}
oncPat2, oncPat1oncItem, topics ] {note}
oncPat2, oncPat1oncItem, type [ {HR}
oncPat2, oncPat2HR, type [ {HR}
oncPat2, oncPat2noteItem, topics ] {note}
oncPat2, oncPat2noteItem, type [ {HR}
oncPat2, oncPat2nursingItem, topics ] {note}
oncPat2, oncPat2nursingItem, type [ {HR}
oncPat2, oncPat2oncItem, topics ] {note}
oncPat2, oncPat2oncItem, type [ {HR}

Total different lines: 695
